,precision,recall,f1-score,support
APPLE ROT LEAVES,0.7368421052631579,0.6666666666666666,0.7,21.0
HEALTHY LEAVES,0.5833333333333334,0.7777777777777778,0.6666666666666666,9.0
LEAF BLOTCH,0.7727272727272727,0.7727272727272727,0.7727272727272727,22.0
SCAB LEAVES,0.7419354838709677,0.71875,0.7301587301587302,32.0
accuracy,0.7261904761904762,0.7261904761904762,0.7261904761904762,0.7261904761904762
macro avg,0.708709548798683,0.7339804292929293,0.7173881673881675,84.0
weighted avg,0.7317335677904439,0.7261904761904762,0.7269652305366592,84.0
